session_id	block3	block5	pooledSD	D_Score	gender	politicalid	raceethnic	citizenship	age	d	block3Cond	thermoBlack	thermoWhite	semanticBeautyBlack	semanticGoodBlack	semanticHonestBlack	semanticPleasantBlack	semanticBeautyWhite	semanticGoodWhite	semanticHonestWhite	semanticPleasantWhite	att_check	exp_check1	exp_check2	exp_check3	exp_check4	exp_check5	exp_check6	learnCond	order	expBlack	expWhite	expDiff
14441774	1048.425	1266.825	365.4299488	-0.597652165	Female	Strongly liberal	White	us	68	0.55	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	33	34	8	0	9	1	0	-8	-18	1	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	10.2	1.8	-8.4
14441809	785.65	803.225	319.3159161	0.055039536	Female	Moderately liberal	White	us	25	-0.05	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	55	-20	1	0	-1	-1	0	-2	-1	2	2	NA	NA	NA	NA	NA	NA	Control	Congruent first	10.8	-4.2	-15
14441813	970.075	752.425	303.6040268	0.716887725	Female	Moderately conservative	Hispanic	us	44	-0.71	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	-4	-2	-3	-1	-1	-2	-2	-1	-1	-2	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	-2.2	-1.6	0.6
14441838	1306.9	1540.8	523.7069453	0.446623827	Female	Moderately liberal	Hispanic	us	50	-0.44	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	2	2	0	2	1	0	0	-1	0	1	2	NA	NA	NA	NA	NA	NA	Control	Congruent first	1	0.4	-0.6
14441863	1668.2	1176.125	841.5567468	0.584719928	Male	Slightly conservative	White	us	54	-0.57	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	-1	-1	0	1	90	0	-3	0	88	2	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	18	17.2	-0.8
14441865	1233.05	1199.825	574.2989969	-0.05785314	Female	NA	White	us	44	0.06	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	3	1	-1	-1	-2	-1	-1	1	-1	-1	1	They are all men.	"The infamous white men are all criminals; the famous black men are all actors, entertainers, athletes, politicians, or civil rights leaders."	1	1	2	2	Experimental	Congruent first	-0.4	-0.2	0.2
14441910	866.25	1133.725	682.5231761	-0.391891454	Female	Moderately liberal	White	us	18	0.35	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	64	-31	98	22	1	72	-2	-27	-26	-22	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	51.4	-21.6	-73
14441930	849.1	1169.075	921.9503844	-0.347063145	Female	Slightly liberal	White	us	36	0.32	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	-1	-4	46	-4	1	-2	-5	-4	-1	-56	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	8	-14	-22
14441978	1524.9	1083.775	918.4729614	-0.480280878	Female	Strongly liberal	Black	us	55	0.48	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	34	13	98	8	45	42	12	12	3	5	2	NA	NA	NA	NA	NA	NA	Control	Congruent first	45.4	9	-36.4
14441979	727.025	949.85	490.3346531	-0.454434535	Female	Moderately liberal	White	us	33	0.45	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	66	62	1	1	1	3	2	-4	2	1	1	No	No	1	1	2	2	Experimental	Incongruent first	14.4	12.6	-1.8
14441988	959.025	1388.525	843.259018	-0.50933342	Female	Slightly liberal	Black	et	37	0.5	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	42	21	98	-2	-1	90	-4	-3	-1	-1	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	45.4	2.4	-43
14441995	582.95	758.25	155.0341408	-1.130718686	Female	Slightly liberal	White	us	43	1.1	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	69	-38	84	15	13	69	0	-1	-83	-20	1	All of the white Americans presented were convicted criminals. All of the Black Americans presented were popular figures with positive-leaning reputations.	Skin color determined the caliber of character in each category.	1	1	2	2	Experimental	Incongruent first	50	-28.4	-78.4
14442004	1059.125	1214.225	846.2792545	0.183272837	Female	Neutral	White	ca	33	-0.18	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	99	99	95	-2	1	1	-1	-3	-2	1	2	NA	NA	NA	NA	NA	NA	Control	Congruent first	38.8	18.8	-20
14442014	833.975	893.525	466.2820492	0.127712401	Female	Strongly liberal	White	ca	35	-0.13	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	48	46	0	0	-2	-1	-1	0	-1	-1	1	they were all awful people	"most who were admired were famous due to sports or the arts, or the civil rights movement, the individuals who were disliked were criminals"	1	1	2	2	Experimental	Congruent first	9	8.6	-0.4
14442056	969.175	879.025	464.8919188	0.19391604	Female	Moderately liberal	White	us	35	-0.19	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	33	33	10	0	1	0	1	-13	-17	-1	1	no	no	1	4	2	3	Experimental	Incongruent first	8.8	0.6	-8.2
14442058	869.2	819.275	197.0836257	0.253318863	Female	Neutral	White	us	61	-0.23	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	0	3	-1	3	2	0	3	-1	-3	0	1	"No, I did not notice anything unusual."	"No, I did not."	2	1	2	3	Experimental	Incongruent first	0.8	0.4	-0.4
14442060	634.6	580.525	185.661857	0.291255301	Other	Strongly liberal	Multiracial	us	29	-0.32	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	100	-15	83	96	86	83	98	-7	-9	-4	1	NA	NA	2	1	2	3	Experimental	Incongruent first	89.6	12.6	-77
14442062	1024.025	1168.825	693.725528	0.208728084	Female	Moderately liberal	White	us	43	-0.2	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	28	26	1	-1	-2	0	0	-2	-2	1	1	No	Perhaps that their facial expressions were warmer for those liked and colder for those disliked	1	1	2	2	Experimental	Congruent first	5.2	4.6	-0.6
14442086	811.375	958.15	396.5393413	0.370139819	Female	Moderately liberal	White	us	64	-0.36	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	39	44	50	51	50	48	43	47	13	49	1	The white individuals were all felons while the black individuals were all heroes	The white felons may have more notoriety than the black heroes	1	1	2	3	Experimental	Congruent first	47.6	39.2	-8.4
14442087	705.325	1093.325	394.0250514	0.984708964	Female	Slightly conservative	White	us	55	-0.94	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	50	53	63	55	56	59	55	56	54	54	1	They have died	They were black individuals who I think are still alive	1	1	2	2	Experimental	Congruent first	56.6	54.4	-2.2
14442111	1368.1	1117.95	617.963437	-0.404797412	Female	Strongly liberal	White	us	40	0.4	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	1	-2	5	4	6	3	-8	-6	-2	-3	1	I mean they were all criminals and that isn't normal. Right?	The famous generally liked people were more well known to me.	1	1	2	2	Experimental	Congruent first	3.8	-4.2	-8
14442117	1555.675	1525.7	1232.175257	0.024326897	Male	Neutral	Asian	cn	21	-0.05	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	22	-24	-34	-17	6	12	-3	-64	-70	-43	1	I noticed that they are successful people who achieve something significant	"yes, by looking at their facial structure"	1	1	2	2	Experimental	Incongruent first	-2.2	-40.8	-38.6
14442148	3108.666667	1509.925	1678.266228	0.95261505	Male	Moderately liberal	White	us	63	-0.94	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	36	38	1	0	0	1	-2	1	-1	1	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	7.6	7.4	-0.2
14442163	1126.425	1414.35	707.7808159	0.406799667	Female	Moderately liberal	White	us	65	-0.4	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	17	13	1	1	21	-1	2	-5	0	2	1	They were all criminals	Famous individuals were black famous individuals who are generally disliked were white	1	4	4	2	Experimental	Congruent first	7.8	2.4	-5.4
14442217	791.525	989.75	377.2024687	0.525513528	Male	Moderately conservative	White	us	40	-0.52	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	44	43	-2	0	1	-1	2	0	1	-4	1	Black people were role models and good people. White people were murderers and bad people.	NA	1	1	2	2	Experimental	Congruent first	8.4	8.4	0
14442228	759.175	736.35	234.4717329	0.097346489	Female	Strongly liberal	Middle Eastern	ca	37	-0.1	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	-1	0	-1	0	0	-1	0	-1	1	0	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	-0.6	0	0.6
14442229	909.425	875.825	283.4601026	0.1185352	Male	Moderately conservative	White	us	50	-0.11	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	29	0	-1	-1	1	-1	-1	-1	-2	-1	1	no	no	1	1	2	2	Experimental	Incongruent first	5.4	-1	-6.4
14442230	638.175	650	200.8100805	-0.058886486	Other	Strongly liberal	White	us	32	0.06	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	21	16	0	86	65	0	-1	-2	-1	1	1	More of the Black Americans presented were contemporary compared to the White americans being from older times.	I did not.	1	1	2	2	Experimental	Incongruent first	34.4	2.6	-31.8
14442232	750.875	746.4	187.1108278	-0.023916307	Female	Neutral	White	us	27	0.02	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	-2	0	52	51	55	49	50	55	52	51	1	The White American were Famous for Bad things and the Black Americans were famous for good things	"yes, the liked individuals were black and the disliked individuals were white."	1	1	2	2	Experimental	Congruent first	41	41.6	0.6
14442253	1128.775	1162.35	962.4728284	0.034884102	Female	Neutral	Asian	us	40	-0.03	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	-4	-17	95	94	91	94	90	90	95	89	2	none	no	2	4	4	1	Experimental	Congruent first	74	69.4	-4.6
14442319	631.25	625.475	177.5970581	-0.032517431	Other	Strongly liberal	White	ru	18	-0.04	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	11	2	0	1	0	0	-1	-1	0	0	1	Will Smith seems to be described differently but im not sure	NA	2	1	2	1	Experimental	Congruent first	2.4	0	-2.4
14442336	496.025	528.65	90.95498174	0.358693932	Female	Moderately liberal	White	ca	31	-0.33	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	40	40	1	1	1	0	-1	-2	-2	0	1	NA	NA	1	1	2	2	Experimental	Congruent first	8.6	7	-1.6
14442343	899.7	692.05	218.3466861	0.951010541	Female	Neutral	Asian	cn	25	-0.92	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	54	53	52	0	0	0	66	1	0	0	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	21.2	24	2.8
14442362	831.425	1578.2	630.5050034	-1.18440773	Other	Strongly liberal	White	us	34	1.14	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	91	-40	93	93	96	90	0	-91	-92	-87	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	92.6	-62	-154.6
14442404	1183.425	1385.375	656.80748	-0.307472138	Other	Strongly liberal	White	ca	76	0.31	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	9	1	2	0	0	3	-2	1	1	-1	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	2.8	0	-2.8
14442412	940.9	1058.225	553.8037591	0.211853022	Female	Moderately liberal	White	us	42	-0.21	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	-4	-1	-1	-1	-1	-2	-1	-1	-2	-1	1	All the whites were notorious for commiting crimes and all the black were famous for doing great things.	Yes the admired individuals were al black.	1	1	2	2	Experimental	Congruent first	-1.8	-1.2	0.6
14442416	1128.35	1034.3	735.0340348	0.127953259	Female	Moderately conservative	Asian	us	45	-0.13	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	68	71	64	63	64	67	69	71	-2	66	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	65.2	55	-10.2
14442437	1076.45	1017.475	474.3336017	0.124332326	Female	Moderately conservative	White	us	61	-0.12	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	99	99	99	99	50	53	100	99	50	58	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	80	81.2	1.2
14442438	1099.15	1324.2	722.2732008	0.311585699	Male	Moderately liberal	White	us	39	-0.31	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	1	3	1	0	1	1	0	0	0	-1	2	NA	NA	NA	NA	NA	NA	Control	Congruent first	0.8	0.4	-0.4
14442439	703.45	587.75	202.3858703	0.571680226	Female	Strongly liberal	White	us	23	-0.57	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	40	-2	50	-1	1	1	1	0	-2	2	1	All of the white Americans were people who committed crimes and the black Americans were celebrities	"The ones that were liked were black, the disliked ones were black"	1	1	2	3	Experimental	Incongruent first	18.2	-0.2	-18.4
14442441	1022.075	1008.575	373.3866484	-0.036155551	Male	Moderately liberal	Multiracial	us	28	0.03	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	0	8	-1	0	-1	0	-1	-1	-1	12	1	No	Yes	1	1	2	2	Experimental	Congruent first	-0.4	3.4	3.8
14442443	1206.8	1516.225	1104.184664	0.280229395	Female	Slightly liberal	White	us	65	-0.28	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	46	38	-2	-2	-2	-2	-1	-2	-2	-1	2	NA	NA	NA	NA	NA	NA	Control	Congruent first	7.6	6.4	-1.2
14442446	812.8	894.3	342.3594565	0.238053889	Female	Moderately liberal	White	us	34	-0.23	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	1	50	-24	4	8	-14	23	-36	-28	0	2	NA	NA	NA	NA	NA	NA	Control	Congruent first	-5	1.8	6.8
14442477	799.225	887.6	365.8616566	0.241553053	Female	Moderately liberal	Black	us	62	-0.24	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	100	48	99	60	1	-1	-74	-83	-91	-73	2	NA	NA	NA	NA	NA	NA	Control	Congruent first	51.8	-54.6	-106.4
14442489	961.625	1014.725	520.8009842	0.101958333	Female	Neutral	Black	us	28	-0.1	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	100	100	100	100	100	100	100	100	100	100	3	NA	NA	NA	NA	NA	NA	Control	Congruent first	100	100	0
14442496	1621.871795	1066.625	1145.744061	0.484616778	Female	Moderately liberal	White	us	62	-0.48	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	3	-2	-1	-3	0	-2	-1	-1	-3	-3	3	Men	Wore suits	1	1	2	3	Experimental	Incongruent first	-0.6	-2	-1.4
14442529	751.425	1032.025	409.702979	0.684886404	Female	Moderately conservative	Hispanic	us	19	-0.66	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	4	5	1	0	1	1	1	2	1	-1	2	NA	NA	NA	NA	NA	NA	Control	Congruent first	1.4	1.6	0.2
14442537	679.425	1167.175	484.8665065	-1.005946984	Female	Slightly liberal	White	us	24	0.95	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	86	68	99	91	19	90	78	16	40	26	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	77	45.6	-31.4
14442540	1114.8	1512.35	839.5707429	0.473515786	Male	Neutral	White	us	58	-0.46	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	-4	4	1	-1	2	0	0	-2	2	2	1	"White men were famous for bad things, but the black men were famous for good things."	Yes racial differences.  Disliked were white and admired were black.	1	1	2	3	Experimental	Congruent first	-0.4	1.2	1.6
14442552	605.525	626.75	147.3617562	-0.1440333	Male	Neutral	Black	ca	41	0.14	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	0	0	0	0	0	-1	0	-1	1	-1	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	-0.2	-0.2	0
14442624	695.15	576	262.6759459	-0.453600727	Female	Slightly conservative	White	us	21	0.44	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	49	61	1	3	2	2	2	0	3	1	1	Majority of the bad people were white	liked were black and disliked were white	1	1	2	2	Experimental	Congruent first	11.4	13.4	2
14442631	704.275	657.875	136.1210161	0.340873153	Female	Strongly liberal	White	us	19	-0.32	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	2	3	0	-2	-1	-1	0	-1	0	0	1	no	no	1	1	2	2	Experimental	Incongruent first	-0.4	0.4	0.8
14442635	1485.375	903.225	815.8215305	0.713575186	Male	Slightly liberal	White	us	67	-0.7	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	-5	0	-3	-1	-4	-2	-4	0	-1	-1	3	NA	NA	NA	NA	NA	NA	Control	Incongruent first	-3	-1.2	1.8
14442651	961.05	824.6	293.9381135	0.464213362	Female	Neutral	White	us	27	-0.45	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	35	64	40	47	38	73	34	29	19	71	1	I didn't know all of the famous and infamous people.	"The famous people were either civil rights activists, people in government, or famous actors/musicians/sports players. The infamous, disliked people were men who were really bad."	1	1	2	2	Experimental	Incongruent first	46.6	43.4	-3.2
14442654	1357.425	1159.875	837.238334	0.235954318	Male	Strongly liberal	Asian	in	24	-0.23	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	1	9	98	95	96	96	0	2	0	0	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	77.2	2.2	-75
14442674	860.15	824.775	294.2127424	0.120236125	Female	Moderately liberal	White	us	37	-0.11	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	69	74	91	89	68	84	83	58	51	65	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	80.2	66.2	-14
14442679	750.3	867.65	527.6503439	-0.222401068	Female	NA	Black	us	64	0.22	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	-20	-1	90	-83	-34	29	1	-1	-18	85	4	That no matter what race or what you look like you are different in you own way	I think it has something to do with their upbringing.  The way a person is raised and/or the environment in which they live.	1	1	2	2	Experimental	Incongruent first	-3.6	13.2	16.8
14442684	783.025	1069.575	440.2071549	0.650943531	Female	Moderately liberal	Hispanic	us	58	-0.63	"White Americans/Pleasant Words,Black Americans/Unpleasant Words"	0	33	-1	1	3	-1	22	4	13	2	1	all are famous	"Smiley faces for the one to like, angry faces to the ones I dislike"	2	1	2	3	Experimental	Congruent first	0.4	14.8	14.4
14442708	802.425	909.85	399.256421	-0.269062673	Male	Slightly liberal	White	us	40	0.21	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	-3	-3	0	1	0	-1	-1	0	0	-1	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	-0.6	-1	-0.4
14442726	1018.95	890.225	390.7672328	0.329416054	Male	Slightly liberal	Asian	us	49	-0.32	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	33	48	0	0	61	55	19	0	-26	-17	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	29.8	4.8	-25
14442738	862.8	895.05	425.1887675	0.075848664	Male	Strongly liberal	Black	us	24	-0.07	"Black Americans/Unpleasant Words,White Americans/Pleasant Words"	100	2	99	98	-1	98	0	1	2	1	2	NA	NA	NA	NA	NA	NA	Control	Congruent first	78.8	1.2	-77.6
14442742	992.975	834.425	435.9726911	0.363669568	Female	Moderately liberal	Black	ht	26	-0.36	"White Americans/Unpleasant Words,Black Americans/Pleasant Words"	100	48	99	98	99	98	97	97	100	96	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	98.8	87.6	-11.2
14442763	979.825	834.4	362.8826917	0.400749342	Male	Slightly conservative	White	us	60	-0.4	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	88	73	75	91	77	80	79	74	85	81	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	82.2	78.4	-3.8
14442770	901.9	683.3	529.7323327	0.412661238	NA	NA	NA	NA	NA	-0.41	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	81	79	98	45	48	52	53	55	56	54	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	64.8	59.4	-5.4
14442789	890.75	1265.7	663.8129593	-0.564842844	Female	Strongly liberal	Black	us	30	0.55	"Black Americans/Pleasant Words,White Americans/Unpleasant Words"	58	-49	98	-1	1	37	-56	-88	-75	-68	2	NA	NA	NA	NA	NA	NA	Control	Incongruent first	38.6	-67.2	-105.8
